id,text_snippet,labels
61,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security"
62,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Security, Objection"
63,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection, Pricing Discussion"
64,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Security, Competition, Positive"
65,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition, Objection"
66,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection"
67,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Objection, Security, Pricing Discussion"
68,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Objection, Security"
69,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Objection, Pricing Discussion"
70,the pricing model and asked for a discount.,Pricing Discussion
71,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive, Security"
72,They mentioned CompetitorX as a cheaper alternative.,Competition
73,They inquired about SOC2 certification and data handling.,Security
74,They appreciated the analytics and AI engine features.,Positive
75,They mentioned CompetitorX as a cheaper alternative.,Competition
76,They mentioned CompetitorX as a cheaper alternative.,Competition
77,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security"
78,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion"
79,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion, Objection"
80,They inquired about SOC2 certification and data handling.,Security
81,They inquired about SOC2 certification and data handling.,Security
82,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion"
83,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion"
84,They appreciated the analytics and AI engine features.,Positive
85,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection"
86,The customer raised an objection about,Objection
87,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Competition"
88,They inquired about SOC2 certification and data handling.,Security
89,The customer raised an objection about the pricing model and asked for a discount.,"Objection, Pricing Discussion"
90,They mentioned CompetitorX as a cheaper alternative.,Competition
91,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection"
92,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security"
93,The customer raised an objection about,Objection
94,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive"
95,They mentioned CompetitorX as a cheaper alternative.,Competition
96,the pricing model and asked for a discount.,Pricing Discussion
97,They inquired about SOC2 certification and data handling.,Security
98,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection, Security"
99,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Security, Competition"
100,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition, Pricing Discussion"
